10340,86,0.15,0.47,0.03,0,0.023,0.226,0.009,0.00046
11000,432,9.3,3.83,0.463,46,0.514,0.771,0,0.00128
0,0,0,0,0,0,0,0,0,0
2370,21,0.38,0.4,0.03,0.1,0.032,0.04,0.005,0.00001
5000,11,0.69,0.92,0.054,3.9,0.016,0.069,0.006,0.00051
10450,111,0.13,0.51,0.033,0,0.02,0.251,0.008,0.00047
3360,134,0.6,0.67,0.217,0,0.033,0.124,0.005,0.00026
19030,14,0.67,1.68,0.069,0,0.039,0.17,0.006,0.00116
28000,13,0.45,0.86,0.043,0,0.045,0.207,0.011,0.00027
29060,13,1.03,2.51,0.091,0,0.047,0.28,0.009,0.00094
19960,9,1.14,2.92,0.079,0,0.049,0.28,0.006,0.0019
20700,12,0.98,1.6,0.047,0,0.074,0.119,0.004,0.00032
17600,1,2.1,1.91,0.088,0,0.04,0.12,0.007,0.00035
21850,33,0.82,1.74,0.067,0,0.069,0.181,0.007,0.00061
3090,11,0.35,0.17,0.028,0.4,0.018,0.02,0.006,0.00008
29370,5,4.8,4.9,0.153,0,0.24,0.301,0.016,0.00644
26100,16,1.07,3.4,0.128,0,0.056,0.335,0.008,0.00165
24340,29,0.97,1.71,0.059,0,0.072,0.13,0.008,0.00045
21970,13,0.88,1.63,0.041,1.2,0.059,0.101,0.004,0.00038
28710,21,1.4,2.03,0.047,0,0.057,0.131,0.006,0.00036
22160,9,0.66,1.53,0.041,0,0.053,0.133,0.005,0.00032
22570,11,1.21,1.64,0.048,0,0.08,0.157,0.004,0.00043
17840,14,0.83,2.3,0.094,0,0.051,0.216,0.006,0.00181
22860,5,2.65,3.89,0.142,0,0.205,0.302,0.008,0.00521
14850,19,0.95,1.05,0.09,0,0.083,0.072,0.007,0.00029
31270,6,4.56,3.19,0.232,0,0.35,0.599,0.009,0.00937
19190,9,0.72,2,0.061,0,0.098,0.243,0.003,0.00042
22480,58,1.18,4.03,0.158,0,0.048,0.288,0.007,0.00142
22510,16,0.95,1.78,0.077,0,0.055,0.227,0.008,0.00047
22770,7,4.02,3.48,0.199,0,0.27,0.457,0.013,0.00675
23400,11,0.84,1.13,0.043,1.3,0.059,0.102,0.005,0.00034
25880,48,2.04,3.25,0.256,0,0.067,0.232,0.007,0.0014
23280,8,0.93,1.92,0.062,0,0.121,0.302,0.002,0.00051
18730,21,1.17,2.53,0.107,0,0.067,0.185,0.007,0.0012
27710,17,1.43,3.51,0.127,0,0.06,0.375,0.009,0.00165
26520,14,0.6,1.5,0.062,0,0.036,0.211,0.008,0.00169
26970,13,0.55,1.49,0.062,0,0.038,0.208,0.006,0.0017
20790,9,0.43,1.07,0.043,0,0.045,0.148,0.007,0.0004
18260,20,8.94,3.37,0.863,24.5,0.206,2.247,0.677,0.01973
22640,11,0.86,1.84,0.079,0,0.05,0.192,0.007,0.00124
29510,14,0.97,1.52,0.06,0,0.043,0.19,0.009,0.00176
25800,15,0.68,1.52,0.063,0,0.034,0.215,0.006,0.00168
4830,35,1.5,1.1,0.3,0.2,0.042,0.039,0.066,0
25650,22,1.02,2.52,0.082,0,0.063,0.224,0.009,0.00049
